time,headX,headY,setspeedL,setspeedR,speedL,speedR,countsL,countsR,powerL,powerR,Kp,Ki,Kd
1448185767.77,0,0,0.0,0.0,0,0,0,0,0,0,0.7,0.0,0.0
1448185771.68,-2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7,0.0,0.0
1448185774.74,-4.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7,0.0,0.0
1448185779.34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.7,0.0,0.0
